id,name,price,original_price,discount_rate,quantity_sold,rating_average,category,platform,seller,url,da_kiem_tra_gia_ao
KAG_251401736,Quần kaki nam ALIGRO chất liệu kaki mềm mịn cao cấp dáng slimfit màu ghi sáng ALGK074,552000.0,552000.0,0.0,1,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-kaki-nam-aligro-chat-lieu-kaki-mem-min-cao-cap-dang-slimfit-mau-ghi-sang-algk074-p251401736.html?spid=251401740,True
KAG_206664470,Áo phao nam công sở trẻ trung NAP37,900000.0,900000.0,0.0,6,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-phao-nam-cong-so-tre-trung-nap37-p206664470.html?spid=206664478,True
KAG_201934333,Áo khoác gió nam chống nắng trượt nước cản gió cản bụi hiệu quả MRM Manlywear,219000.0,390000.0,0.44,170,4.8,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-khoac-gio-nam-giu-nhiet-chong-nuoc-can-gio-can-bui-hieu-qua-mrm-manlywear-p201934333.html?spid=201934360,False
KAG_196033255,Áo sơ mi nam form rộng tay dài kiểu trẻ trung hàn quốc chất lụa mềm mịn mát ít nhăn- MRD04,115500.0,210000.0,0.45,45,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-so-mi-nam-form-rong-tay-dai-kieu-tre-trung-han-quoc-chat-lua-mem-min-mat-it-nhan-mrd04-p196033255.html?spid=196033284,False
KAG_190142008,Áo sơ mi nam form rộng cổ tàu cổ trụ tay dài Giấu Nút phong cách hàn quốc trẻ trung lịch lãm-MRDT02,121000.0,220000.0,0.45,13,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-so-mi-nam-form-rong-co-tau-co-tru-tay-dai-giau-nut-phong-cach-han-quoc-tre-trung-lich-lam-mrdt02-p190142008.html?spid=190142022,False
KAG_181142190,Áo sơ mi nam Slim fit ngắn tay hồng đậm 170284N,449000.0,449000.0,0.0,3,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-so-mi-nam-slim-fit-ngan-tay-hong-dam-170284n-p181142190.html?spid=181142194,False
KAG_113052442,Áo thun nam Áo phông nam cổ tròn - không cổ Out of control thời trang siêu hot hàng đẹp bao đẹp-M190,203950.0,203950.0,0.0,8,3.4,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-thun-nam-ao-phong-nam-co-tron-khong-co-out-of-control-thoi-trang-sieu-hot-hang-dep-bao-dep-m190-p113052442.html?spid=113052460,False
KAG_113050461,Áo khoát của nam hoodie QUCHUN cực chuẩn mẫu mới-A634,189250.0,189250.0,0.0,1,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-khoat-cua-nam-hoodie-quchun-cuc-chuan-mau-moi-a634-p113050461.html?spid=113050535,False
KAG_81074746,SET THẾ THAO NAM NĂNG ĐỘNG,403450.0,403450.0,0.0,2,3.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/set-the-thao-nam-nang-dong-p81074746.html?spid=113224910,False
KAG_77884223,BỘ THỂ THAO NAM NĂNG ĐỘNG,445450.0,445450.0,0.0,1,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/bo-the-thao-nam-nang-dong-p77884223.html?spid=113227579,False
