ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao
278730376,Máy tính bảng Samsung Galaxy Tab A11 Wifi (4GB/64GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,3990000,3990000,0.0,0,0.0,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-wifi-4gb-64gb-hang-chinh-hang-p278730376.html?spid=278730380,True
278729165,Máy tính bảng Samsung Galaxy Tab A11 LTE (4GB/64GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,5490000,5490000,0.0,2,0.0,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-lte-4gb-64gb-hang-chinh-hang-p278729165.html?spid=278729169,True
278635796,Điện Thoại Samsung Galaxy A17 8GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,5359000,5359000,0.0,3,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a17-8gb-128gb-hang-chinh-hang-p278635796.html?spid=278635798,True
278630285,Apple iPhone Air - Xanh Da Trời - 256GB,Điện thoại (Cũ),Tiki,22500000,22500000,0.0,53,5.0,https://tiki.vn/apple-iphone-air-p278630285.html?spid=278630803,True
278630241,Apple iPhone 17,Điện thoại (Cũ),Tiki,23500000,23500000,0.0,249,5.0,https://tiki.vn/apple-iphone-17-p278630241.html?spid=278630827,True
278628866,Apple iPhone 17 Pro Max,Điện thoại (Cũ),Tiki,33490000,33490000,0.0,4968,5.0,https://tiki.vn/apple-iphone-17-pro-max-p278628866.html?spid=278630786,True
278628812,Apple iPhone 17 Pro,Điện thoại (Cũ),Tiki,30990000,30990000,0.0,433,5.0,https://tiki.vn/apple-iphone-17-pro-p278628812.html?spid=278630775,True
278591193,Điện thoại Samsung Galaxy A17 5G (8GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,6390000,6390000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a17-5g-8gb-128gb-hang-chinh-hang-p278591193.html?spid=278591198,True
278540683,Điện Thoại Samsung Galaxy A17 5G 8GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,6129000,6190000,0.01,2,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a17-5g-8gb-128gb-hang-chinh-hang-p278540683.html?spid=278540689,True
277944334,Điện Thoại Samsung Galaxy A06 5G 4GB/64GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,3389000,3490000,0.03,8,5.0,https://tiki.vn/dien-thoai-samsung-a06-5g-4gb-64gb-hang-chinh-hang-p277944334.html?spid=277944340,True
277812880,Máy Tính Bảng Galaxy Tab S10 FE Wifi (8GB/128GB) - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,11990000,11990000,0.0,46,5.0,https://tiki.vn/may-tinh-bang-galaxy-tab-s10-fe-wifi-8gb-128gb-hang-chinh-hang-p277812880.html?spid=277812886,True
277646748,Điện thoại Samsung Galaxy A06 5G (4GB/64GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,3990000,3990000,0.0,2,5.0,https://tiki.vn/dien-thoai-samsung-galaxy-a06-5g-4gb-64gb-hang-chinh-hang-p277646748.html?spid=277646755,True
277619147,Máy tính bảng iPad Gen 11 (A16) WiFi,Điện thoại (Cũ),Tiki,11990000,11990000,0.0,474,5.0,https://tiki.vn/may-tinh-bang-ipad-gen-11-a16-wifi-p277619147.html?spid=277619155,True
276539826,"Máy đọc sách New Kindle 2024, 16Gb Mới nguyên Seal - Hàng chính hãng",Điện thoại (Cũ),Tiki,3690000,3690000,0.0,9,5.0,https://tiki.vn/may-doc-sach-new-kindle-2024-16gb-moi-nguyen-seal-hang-chinh-hang-p276539826.html?spid=276540791,True
276448920,"Máy đọc sách Amazon Kindle Paperwhite 6 (Gen 12th), Mới nguyên Seal - Hàng chính hãng",Điện thoại (Cũ),Tiki,4890000,4890000,0.0,24,5.0,https://tiki.vn/may-doc-sach-amazon-kindle-paperwhite-6-gen-12th-hang-chinh-hang-p276448920.html?spid=276448922,True
275386982,Điện Thoại Nokia 220 4G - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,1089000,1190000,0.08,17,5.0,https://tiki.vn/dien-thoai-nokia-220-4g-hang-chinh-hang-p275386982.html?spid=275386986,True
271234577,Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,849000,849000,0.0,20,5.0,https://tiki.vn/dien-thoai-nokia-105-4g-pro-hang-chinh-hang-p271234577.html?spid=271234579,True
252586291,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,Điện thoại (Cũ),Tiki,4130000,4130000,0.0,521,5.0,https://tiki.vn/may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p252586291.html?spid=252586532,True
201067649,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,Điện thoại (Cũ),Tiki,3890000,3890000,0.0,255,5.0,https://tiki.vn/combo-may-doc-sach-kindle-paperwhite-5-8gb-black-11th-gen-tang-kem-bao-da-cover-hang-nhap-khau-p201067649.html?spid=184640915,True
196197701,Điện thoại Samsung Galaxy Z Fold4 5G (12GB/256GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,40990000,40990000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-z-fold4-5g-12gb-256gb-hang-chinh-hang-p196197701.html?spid=196197705,True
279463314,Điện thoại Xiaomi Redmi Note 15 (8GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,6490000,6490000,0.0,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-8gb-128gb-hang-chinh-hang-p279463314.html?spid=279463318,True
279418684,Điện Thoại Xiaomi Redmi 15 5G 4GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,4439000,5690000,0.22,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-4gb-128gb-hang-chinh-hang-p279418684.html?spid=279418686,True
279418598,Điện Thoại Samsung Galaxy A07 5G 4GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,4299000,4590000,0.06,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a07-5g-4gb-128gb-hang-chinh-hang-p279418598.html?spid=279418600,True
279402741,Điện thoại Samsung Galaxy A07 5G (4GB/64GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,4690000,4690000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a07-5g-4gb-64gb-hang-chinh-hang-p279402741.html?spid=279402747,True
279389858,Điện thoại Xiaomi Redmi A7 Pro (4GB/64GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,4190000,4190000,0.0,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-a7-pro-hang-chinh-hang-p279389858.html?spid=279389860,True
279303104,Điện Thoại Realme C85 5G 8GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,5639000,8090000,0.3,0,0.0,https://tiki.vn/dien-thoai-realme-c85-5g-8gb-128gb-hang-chinh-hang-p279303104.html?spid=279303106,True
279280385,Điện thoại Xiaomi Redmi Note 15 Pro (8GB/256GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,8990000,8990000,0.0,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-8gb-256gb-hang-chinh-hang-p279280385.html?spid=279280389,True
279278848,Điện thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,10790000,10790000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a37-5g-8gb-128gb-hang-chinh-hang-p279278848.html?spid=279278850,True
279277488,Điện thoại Samsung Galaxy A57 5G (8GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,12490000,12490000,0.0,1,5.0,https://tiki.vn/dien-thoai-samsung-galaxy-a57-5g-8gb-128gb-hang-chinh-hang-p279277488.html?spid=279277490,True
279277056,Điện thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,29990000,29990000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-s26-12gb-256gb-hang-chinh-hang-p279277056.html?spid=279277060,True
279255062,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 6GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,6129000,6690000,0.08,0,0.0,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-2-wifi-6gb-128gb-hang-chinh-hang-p279255062.html?spid=279255066,True
279254739,Điện Thoại Xiaomi Redmi 15 5G 8GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,6279000,6690000,0.06,2,5.0,https://tiki.vn/dien-thoai-xiaomi-redmi-15-5g-8gb-256gb-hang-chinh-hang-p279254739.html?spid=279254741,True
279212199,Điện thoại Samsung Galaxy A17 5G (4GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,6190000,6190000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a17-5g-4gb-128gb-hang-chinh-hang-p279212199.html?spid=279212205,True
279174132,Máy Tính Bảng Samsung Galaxy Tab A11 Wifi 4GB/64GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,3499000,3990000,0.12,0,0.0,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a11-wifi-4gb-64gb-hang-chinh-hang-p279174132.html?spid=279174136,True
279076844,Điện Thoại Xiaomi Redmi Note 15 5G 6GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,6119000,7490000,0.18,1,5.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-5g-6gb-128gb-hang-chinh-hang-p279076844.html?spid=279076846,True
