ma_san_pham,ten_san_pham,gia,danh_gia,luot_ban,url,nen_tang,nganh_hang,da_kiem_tra_gia_ao
274363543,Sách Con Đường Chẳng Mấy Ai Đi,115000.0,5.0,6349,https://tiki.vn/sach-con-duong-chang-may-ai-di-p274363543.html?spid=274363544,Tiki,Tô màu - Luyện chữ,False
273819808,Sách Tâm Lý Học Về Tiền,143400.0,4.8,28885,https://tiki.vn/sach-tam-ly-hoc-ve-tien-p273819808.html?spid=75953558,Tiki,Sách ngoại văn,False
272188850,Soul Eater,86000.0,5.0,308,https://tiki.vn/soul-eater-p272188850.html?spid=274972079,Tiki,Truyện tranh/Manga,False
262664014,Combo Doraemon Truyện Ngắn,222300.0,5.0,476,https://tiki.vn/combo-doraemon-truyen-ngan-p262664014.html?spid=262664018,Tiki,Truyện tranh/Manga,False
249876840,"Sách Beartown - Thị trấn nhỏ, giấc mơ lớn",172000.0,5.0,2279,https://tiki.vn/sach-beartown-thi-tran-nho-giac-mo-lon-p249876840.html?spid=249876841,Tiki,Sách ngoại văn,False
202879294,Sách Người Đàn Ông Mang Tên Ove (Tái Bản 2022),128000.0,5.0,6739,https://tiki.vn/sach-nguoi-dan-ong-mang-ten-ove-tai-ban-2022-p202879294.html?spid=202879295,Tiki,Sách ngoại văn,False
190335975,Combo 2 cuốn Truyện Dành Cho Thiếu Nhi : Tuổi Thơ Dữ Dội - Tập 1 + 2 (Tái Bản),120000.0,5.0,1818,https://tiki.vn/combo-2-cuon-truyen-danh-cho-thieu-nhi-tuoi-tho-du-doi-tap-1-2-tai-ban-p190335975.html?spid=273817532,Tiki,Máy massage,False
165030729,Sách Những Kẻ Âu Lo,149000.0,5.0,2308,https://tiki.vn/sach-nhung-ke-au-lo-p165030729.html?spid=165030730,Tiki,Sách ngoại văn,False
115078652,Sách Huấn Luyện Cảm Xúc Để Con Trẻ Phát Triển Toàn Diện,142560.0,5.0,1186,https://tiki.vn/sach-huan-luyen-cam-xuc-de-con-tre-phat-trien-toan-dien-p115078652.html?spid=115078654,Tiki,Tô màu - Luyện chữ,False
91947689,Sách 7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People) - Stephen R. Covey - PACE Books,169200.0,5.0,9903,https://tiki.vn/sach-7-thoi-quen-hieu-qua-the-7-habits-of-highly-effective-people-stephen-r-covey-pace-books-p91947689.html?spid=91947690,Tiki,Tô màu - Luyện chữ,False
13920941,Combo Doraemon - Truyện Dài (Trọn Bộ 24 Cuốn) - Tái Bản,529200.0,5.0,4942,https://tiki.vn/combo-doraemon-truyen-dai-tron-bo-24-cuon-tai-ban-p13920941.html?spid=13920942,Tiki,Truyện tranh/Manga,True
2987219,Sách Giáo Trình Chuẩn YCT 1 (Kèm file MP3),115000.0,4.8,2996,https://tiki.vn/sach-giao-trinh-chuan-yct-1-kem-file-mp3-p2987219.html?spid=2987563,Tiki,Sách ngoại văn,False
1080002,Sách Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập),1473000.0,4.7,10882,https://tiki.vn/sach-boxset-harry-potter-tieng-viet-tron-bo-7-tap-p1080002.html?spid=1080024,Tiki,Sách ngoại văn,True
540039,Sách Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm file MP3),165000.0,4.8,8593,https://tiki.vn/sach-giao-trinh-chuan-hsk-1-bai-hoc-kem-file-mp3-p540039.html?spid=262528,Tiki,Sách ngoại văn,False
279394165,Thám tử thừa kế,50000.0,0.0,96,https://tiki.vn/tham-tu-thua-ke-p279394165.html?spid=279493247,Tiki,Truyện tranh/Manga,False
279374424,Sách Chú Thuật Hồi Chiến - Tập 27,28500.0,5.0,38,https://tiki.vn/chu-thuat-hoi-chien-tap-27-p279374424.html?spid=279375119,Tiki,Truyện tranh/Manga,False
279313607,Bộ Sách Tô Màu 6 Cuốn Họa Sĩ Nhí Vẽ Thế Giới,15000.0,0.0,0,https://tiki.vn/bo-sach-to-mau-6-cuon-hoa-si-nhi-ve-the-gioi-p279313607.html?spid=279313712,Tiki,Vitamin & Thực phẩm bổ sung,False
279292568,Song Mệnh Cõi Hoàng Tuyền,31500.0,4.8,134,https://tiki.vn/song-menh-coi-hoang-tuyen-p279292568.html?spid=279580424,Tiki,Truyện tranh/Manga,False
279236031,"Điệu múa chim công, có ai thấy không",52000.0,5.0,120,https://tiki.vn/dieu-mua-chim-cong-co-ai-thay-khong-p279236031.html?spid=279236035,Tiki,Truyện tranh/Manga,False
279235202,Sách Khúc Hát Đêm Thâu [Chọn Tập,31500.0,4.2,251,https://tiki.vn/sach-khuc-hat-dem-thau-chon-tap-p279235202.html?spid=279558959,Tiki,Truyện tranh/Manga,False
278788044,Sách BEASTARS [Chọn Tập Lẻ,28350.0,5.0,285,https://tiki.vn/sach-beastars-chon-tap-le-p278788044.html?spid=279409079,Tiki,Truyện tranh/Manga,False
278756674,Sách Nisekoi - Cặp Đôi Giả Tạo,36000.0,5.0,258,https://tiki.vn/sach-nisekoi-cap-doi-gia-tao-p278756674.html?spid=279558986,Tiki,Truyện tranh/Manga,False
278749523,Ngũ Hành Của Tôi Thiếu Em,131200.0,5.0,243,https://tiki.vn/ngu-hanh-cua-toi-thieu-em-p278749523.html?spid=278749686,Tiki,Sách thiếu nhi,False
278729052,Doraemon Movie Story Màu - Phiên Bản Mới: Nobita Và Binh Đoàn Người Sắt - Đôi Cánh Thiên Thần,34300.0,5.0,44,https://tiki.vn/doraemon-movie-story-mau-phien-ban-moi-nobita-va-binh-doan-nguoi-sat-doi-canh-thien-than-p278729052.html?spid=278729053,Tiki,Truyện tranh/Manga,False
278684154,Nữ Binh Thần Tốc,41800.0,5.0,242,https://tiki.vn/nu-binh-than-toc-p278684154.html?spid=278863077,Tiki,Truyện tranh/Manga,False
278423155,"Sách Hồi Ức, Giấc Mơ, Suy Ngẫm - Hành Trình Vào Nội Tâm Của Carl Jung – Nơi Ký Ức, Giấc Mơ Và Triết Lý Giao Thoa",229200.0,5.0,1606,https://tiki.vn/sach-hoi-uc-giac-mo-suy-ngam-hanh-trinh-vao-noi-tam-cua-carl-jung-noi-ky-uc-giac-mo-va-triet-ly-giao-thoa-p278423155.html?spid=278423156,Tiki,Sách ngoại văn,False
278123405,Sobotei Dinh Thự Ma Ám (Chọn tập lẻ),42000.0,5.0,597,https://tiki.vn/sobotei-dinh-thu-ma-am-p278123405.html?spid=279577166,Tiki,Truyện tranh/Manga,False
277397107,Sách Phía Đông Vườn Địa Đàng,279000.0,4.5,645,https://tiki.vn/sach-phia-dong-vuon-dia-dang-p277397107.html?spid=277397109,Tiki,Sách ngoại văn,False
276948798,"Sách Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",108000.0,4.8,2814,https://tiki.vn/sach-len-dinh-nui-mo-tiem-banh-mi-triet-li-wazawaza-nhung-con-nguoi-hanh-phuc-2-loai-banh-mi-va-doanh-thu-thuong-nien-300-trieu-yen-p276948798.html?spid=276948799,Tiki,Sách ngoại văn,False
276933755,Combo Giáo Trình Chuẩn HSK 4 Tập 1 - Sách Bài Học và Bài tập (Bộ 2 cuốn),311000.0,5.0,865,https://tiki.vn/combo-giao-trinh-chuan-hsk-4-tap-1-sach-bai-hoc-va-bai-tap-bo-2-cuon-p276933755.html?spid=276949260,Tiki,Sách ngoại văn,True
276933752,Combo Giáo Trình Chuẩn HSK 3 - Sách Bài Học và Bài tập (Bộ 2 cuốn),395000.0,5.0,862,https://tiki.vn/combo-giao-trinh-chuan-hsk-3-sach-bai-hoc-va-bai-tap-bo-2-cuon-p276933752.html?spid=276949259,Tiki,Sách ngoại văn,True
276883579,Sống Sáng - Phan Việt - Sáng Books,200000.0,5.0,1246,https://tiki.vn/song-sang-dong-sach-sang-phan-viet-sang-books-p276883579.html?spid=276886802,Tiki,Tô màu - Luyện chữ,False
276425570,Thám Tử Lừng Danh Conan (Bản Nâng Cấp) - [Chọn Tập Lẻ,32300.0,5.0,312,https://tiki.vn/tham-tu-lung-danh-conan-ban-nang-cap-p276425570.html?spid=276428296,Tiki,Truyện tranh/Manga,False
276078455,Series các tập Gachiakuta,39800.0,5.0,397,https://tiki.vn/series-cac-tap-gachiakuta-p276078455.html?spid=276424324,Tiki,Truyện tranh/Manga,False
276019606,Sách Không Gia Đình (Tái Bản),120000.0,5.0,502,https://tiki.vn/sach-khong-gia-dinh-tai-ban-p276019606.html?spid=278938671,Tiki,Sách ngoại văn,False
273746688,Sách Địa Cầu Online,129400.0,4.8,91,https://tiki.vn/sach-dia-cau-online-p273746688.html?spid=273204606,Tiki,Sách thiếu nhi,False
273691914,Sách Trăm năm cô đơn,176250.0,4.7,520,https://tiki.vn/sach-tram-nam-co-don-p273691914.html?spid=273691915,Tiki,Sách ngoại văn,False
272447731,Sách Xông vào lối âm dương,109900.0,5.0,211,https://tiki.vn/sach-xong-vao-loi-am-duong-p272447731.html?spid=262806375,Tiki,Sách thiếu nhi,False
263035841,Sách Vòng Quanh Thế Giới,9440.0,4.8,694,https://tiki.vn/sach-vong-quanh-the-gioi-p263035841.html?spid=277926130,Tiki,Vitamin & Thực phẩm bổ sung,False
194960730,Sách Nỗi buồn chiến tranh,99000.0,5.0,4726,https://tiki.vn/sach-noi-buon-chien-tranh-p194960730.html?spid=194960731,Tiki,Sách ngoại văn,False
192909292,Sách Án Mạng Trên Chuyến Tàu Tốc Hành Phương Đông,98000.0,5.0,978,https://tiki.vn/sach-an-mang-tren-chuyen-tau-toc-hanh-phuong-dong-p192909292.html?spid=192909295,Tiki,Chăm sóc da,False
176831144,Combo 23 Tập Thanh Gươm Diệt Quỷ (Tập 1-23),662400.0,5.0,342,https://tiki.vn/combo-23-tap-thanh-guom-diet-quy-tap-1-23-p176831144.html?spid=176831145,Tiki,Truyện tranh/Manga,True
170708233,Sách Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ Atomic Habits (Tái Bản Lần 4),142000.0,4.8,12328,https://tiki.vn/sach-thay-doi-ti-hon-hieu-qua-bat-ngo-atomic-habits-tai-ban-lan-4-p170708233.html?spid=170708234,Tiki,Tô màu - Luyện chữ,False
140416370,Sách Flow - Dòng Chảy,175560.0,5.0,9389,https://tiki.vn/sach-flow-dong-chay-p140416370.html?spid=140416372,Tiki,Sách ngoại văn,False
109017985,"Sách Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",128880.0,4.8,27264,https://tiki.vn/sach-thien-tai-ben-trai-ke-dien-ben-phai-tai-ban-p109017985.html?spid=109017987,Tiki,Sách ngoại văn,False
95289208,Sách Người Bà Tài Giỏi Vùng Saga,96000.0,5.0,5582,https://tiki.vn/sach-nguoi-ba-tai-gioi-vung-saga-p95289208.html?spid=95289212,Tiki,Sách ngoại văn,False
76013378,Sách Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),219300.0,5.0,12890,https://tiki.vn/sach-storytelling-with-data-ke-chuyen-thong-qua-du-lieu-cuon-cam-nang-huong-dan-truc-quan-hoa-du-lieu-p76013378.html?spid=76013379,Tiki,Mỹ phẩm,False
