ma_san_pham,ten_san_pham,gia,danh_gia,luot_ban,url,nen_tang,nganh_hang,gia_goc,ty_le_giam,shop,da_kiem_tra_gia_ao
270663112,Combo Thám Tử Lừng Danh Conan - Học Viện Cảnh Sát - Wild Police Story [Tập 1+2] (2 Cuốn),57000.0,4.8,70,https://tiki.vn/combo-tham-tu-lung-danh-conan-hoc-vien-canh-sat-wild-police-story-tap-1-2-2-cuon-p270663112.html?spid=270663115,Tiki,Truyện tranh/Manga,57000.0,0.0,Tiki,False
263052837,Dragon Ball Super Tập 14: Tuần Tra Viên Ngân Hà Son Goku,28500.0,5.0,14,https://tiki.vn/dragon-ball-super-tap-14-tuan-tra-vien-ngan-ha-son-goku-p263052837.html?spid=263052840,Tiki,Truyện tranh/Manga,28500.0,0.0,Tiki,False
262304692,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 37,21120.0,5.0,55,https://tiki.vn/doraemon-chu-meo-may-den-tu-tuong-lai-tap-37-p262304692.html?spid=262304695,Tiki,Truyện tranh/Manga,21120.0,0.0,Tiki,False
247442507,Doraemon Tranh Truyện Màu - Nobita Tây Du Kí Tập 2 (Tái Bản 2023),28500.0,5.0,44,https://tiki.vn/doraemon-tranh-truyen-mau-nobita-tay-du-ki-tap-2-tai-ban-2023-p247442507.html?spid=247442508,Tiki,Truyện tranh/Manga,28500.0,0.0,Tiki,False
246073880,Combo Thám Tử Lừng Danh Conan Hoạt Hình Màu: Kẻ Hành Pháp Zero (Tập 1 + Tập 2) (2 Cuốn),114000.0,5.0,32,https://tiki.vn/combo-tham-tu-lung-danh-conan-hoat-hinh-mau-ke-hanh-phap-zero-tap-1-tap-2-2-cuon-tai-ban-2023-p246073880.html?spid=246073881,Tiki,Truyện tranh/Manga,114000.0,0.0,Tiki,False
242085691,Doraemon Tập 6: Nobita Và Cuộc Chiến Vũ Trụ [Tái Bản 2023],20900.0,0.0,27,https://tiki.vn/doraemon-tap-6-nobita-va-cuoc-chien-vu-tru-tai-ban-2023-p242085691.html?spid=242085692,Tiki,Truyện tranh/Manga,20900.0,0.0,Tiki,False
195969664,Tokyo Revengers - Tập 4,94700.0,5.0,962,https://tiki.vn/tokyo-revengers-tap-4-p195969664.html?spid=195969673,Tiki,Truyện tranh/Manga,94700.0,0.0,Tiki,False
185097189,Combo Nhà Có 5 Nàng Dâu ( 14 Tập) [Tái Bản 2025],394250.0,0.0,3,https://tiki.vn/nha-co-5-nang-dau-combo-12-tap-tap-1-den-tap-12-p185097189.html?spid=185097190,Tiki,Truyện tranh/Manga,394250.0,0.0,Tiki,False
57233240,Combo 5 Cuốn: Doraemon Thế Giới Khoa Học,213750.0,4.8,270,https://tiki.vn/combo-5-cuon-doraemon-the-gioi-khoa-hoc-p57233240.html?spid=57233241,Tiki,Truyện tranh/Manga,213750.0,0.0,Tiki,False
34956336,Doraemon Plus Tập 6 (Tái Bản),21600.0,5.0,37,https://tiki.vn/doraemon-plus-tap-6-tai-ban-2019-p34956336.html?spid=34956337,Tiki,Truyện tranh/Manga,21600.0,0.0,Tiki,False
